Date,"BTC price, USD","ETH price, USD","BTC profit, USD per day for TH","ETH profit, USD per day for TH"
2012-09-27,12.339,,4849,
2012-09-28,12.331,,4131,
2012-09-29,12.407,,4575,
2012-09-30,12.382,,4269,
2012-10-01,12.375,,3878,
2012-10-02,12.635,,4662,
2012-10-03,12.865,,3982,
2012-10-04,12.867,,4273,
2012-10-05,12.75,,4221,
2012-10-06,12.647,,4628,
2012-10-07,12.153,,3565,
2012-10-08,11.839,,4493,
2012-10-09,11.817,,3628,
2012-10-10,12.008,,3960,
2012-10-11,12.08,,3738,
2012-10-12,12.059,,4031,
2012-10-13,11.931,,4024,
2012-10-14,11.8,,3549,
2012-10-15,11.707,,4332,
2012-10-16,11.844,,3868,
2012-10-17,11.817,,3708,
2012-10-18,11.875,,4148,
2012-10-19,11.838,,3339,
2012-10-20,11.74,,4289,
2012-10-21,11.685,,3787,
2012-10-22,11.671,,3884,
2012-10-23,11.697,,3322,
2012-10-24,11.65,,4184,
2012-10-25,11.256,,3643,
2012-10-26,10.512,,3713,
2012-10-27,10.216,,3260,
2012-10-28,10.48,,3524,
2012-10-29,10.65,,3318,
2012-10-30,10.739,,3095,
2012-10-31,11.041,,3415,
2012-11-01,10.875,,3301,
2012-11-02,10.519,,3214,
2012-11-03,10.556,,3262,
2012-11-04,10.725,,3262,
2012-11-05,10.774,,3422,
2012-11-06,10.814,,3085,
2012-11-07,10.909,,3559,
2012-11-08,10.922,,3171,
2012-11-09,10.873,,3395,
2012-11-10,10.852,,3051,
2012-11-11,10.879,,3414,
2012-11-12,10.924,,3050,
2012-11-13,10.98,,3479,
2012-11-14,10.975,,3207,
2012-11-15,11.093,,3225,
2012-11-16,11.475,,3605,
2012-11-17,11.769,,3397,
